George Jones	326
Pritam	274
Hank Williams	219
Arijit Singh	205
Hillsong Worship	166
BTS	161
my little airport	154
J Balvin	152
Hans Zimmer	152
Yuvan Shankar Raja	151
Linkin Park	151
The Beatles	146
OneRepublic	141
Scooter	140
Vybz Kartel	135
Håkan Hellström	132
Ella Fitzgerald	132
Sujatha	130
ILLENIUM	130
Bad Bunny	129
Justin Bieber	125
Nat King Cole	116
Alphaxone	114
Germaine Franco	106
Chris Tomlin	105
Jay Chou	103
Daddy Yankee	101
David Guetta	99
Charlie Brown Jr.	99
Tiësto	98
The Beach Boys	98
KAROL G	97
Arctic Monkeys	96
XXXTENTACION	95
Drifting Cowboys	94
Almafuerte	94
Elvis Presley	92
Inner City	90
Shreya Ghoshal	88
Sean Paul	87
Nogizaka46	87
Martin Garrix	87
The Prophet	86
Stevie Wonder	86
Roberto Goyeneche	85
Dan Gibson's Solitudes	85
Alka Yagnik	85
Burna Boy	84
Shiritsu Ebisu Chugaku	83
Marshmello	83
Feid	83
The Chemical Brothers	82
Sorriso Maroto	82
Pink Floyd	82
Tove Lo	81
Julio Sosa	81
Napalm Death	80
Seiko Matsuda	79
Brenda Lee	79
The Jackson 5	77
Bethel Music	77
Norah Jones	76
Henrique & Juliano	74
Criolo	74
Charlie Puth	74
Armin van Buuren	74
Andrea Bocelli	74
Carlos Gardel	73
The Prodigy	72
Jhayco	72
BaianaSystem	71
Zeca Pagodinho	70
Lorne Balfe	70
Pink Sweat$	69
CoComelon	69
Boris Brejcha	69
Robin Schulz	68
Omar S	68
Ludovico Einaudi	68
Jack Harlow	68
Sidhu Moose Wala	67
Carajo	67
Yiruma	66
Rammstein	66
Os Barões Da Pisadinha	66
Bonobo	66
Lady Gaga	65
Eikichi Yazawa	65
DJ Snake	65
Anirudh Ravichander	65
Alan Menken	65
A.R. Rahman	64
Andrew Lloyd Webber	64
ABBA	64
Timothy Infinite	63
Ray Price	63
Los Caligaris	63
Chronic Law	63
Sebastian Yatra	62
Nirvana	62
Eason Chan	62
Udit Narayan	61
Shiloh Dynasty	61
Keyakizaka46	61
Kacey Musgraves	61
Disney	61
Bryan Adams	61
Koo Koo Kanga Roo	60
Dean Martin	60
Alan Walker	60
Paul Johnson	59
Mariah Angeliq	59
Asspera	59
Oleg Pogudin	58
Little Symphony	58
Justnormal	58
Ed Sheeran	58
Nusrat Fateh Ali Khan	57
Glee Cast	57
Charli XCX	57
Ava Max	57
Robert Hood	56
Matheus & Kauan	56
Anne-Marie	56
Weezer	55
Powfu	55
Mini Pop Kids	55
Los Amigos Invisibles	55
Kato	55
Kailash Kher	55
Hillsong Young & Free	55
FKA twigs	55
Ferrugem	55
Dub Pistols	55
Don Omar	55
Bring Me The Horizon	55
Blake Rules	55
Matt Large	54
Kodak Black	54
Jorge Drexler	54
Jim Brickman	54
Stam1na	53
Sonu Nigam	53
Salim–Sulaiman	53
Ozuna	53
Netherfriends	53
Momoiro Clover Z	53
Jubin Nautiyal	53
Drexciya	53
Chuck Berry	53
Anuel AA	53
Traditional	52
Freestylers	52
Alfredo De Angelis	52
Randy Newman	51
Kidz Bop Kids	51
Katy Perry	51
Deekline	51
Adele	51
Rata Blanca	50
R3HAB	50
Prateek Kuhad	50
Jobii	50
Greensky Bluegrass	50
Elton John	50
Dua Lipa	50
